Trip ID,Destination,Start date,End date,Duration (days),Traveler name,Traveler age,Traveler gender,Traveler nationality,Accommodation type,Accommodation cost,Transportation type,Transportation cost,About City,Weather,Continent,Type of City,Type of Tourism
13,Tokyo,6/10/2024,6/18/2024,8,Lily Wong 13,29,Female,Chinese,Resort,3000,Flight,1200,"Honolulu, Hawaii is a renowned city known for its vibrant culture and rich history.",Cold,Europe,Urban,Sports
14,London,7/1/2024,7/10/2024,9,Hans Mueller 14,48,Male,German,Hotel,1400,Flight,700,"Berlin, Germany is a renowned city known for its vibrant culture and rich history.",Moisture,Asia,Rural,Cultural
15,Rome,8/20/2024,8/27/2024,7,Fatima Khouri 15,26,Female,Moroccan,Riad,600,Flight,400,"Marrakech, Morocco is a renowned city known for its vibrant culture and rich history.",Dry,North America,Archaeological,Therapeutic
16,Moscow,9/5/2024,9/12/2024,7,James MacKenzie 16,32,Male,Scottish,Hotel,900,Flight,150,"Edinburgh, Scotland is a renowned city known for its vibrant culture and rich history.",Hot,South America,Coastal,Recreational
17,Buenos Aires,8/15/2023,8/25/2023,10,Michael Chang 17,28,Male,Chinese,Resort,"$1,500 ",Flight,$700 ,Bali is a renowned city known for its vibrant culture and rich history.,Rainy,Africa,Desert,Religious
18,Bangkok,7/22/2023,7/28/2023,6,Olivia Rodriguez 18,35,Female,British,Hotel,"$1,200 ",Flight,$150 ,London is a renowned city known for its vibrant culture and rich history.,Cold,Australia,Urban,Archaeological
19,Berlin,10/5/2023,10/15/2023,10,Kenji Nakamura 19,45,Male,Japanese,Hotel,"$1,200 ",Flight,$800 ,Tokyo is a renowned city known for its vibrant culture and rich history.,Moisture,Europe,Rural,Environmental
20,Singapore,12/5/2023,12/12/2023,7,James Wilson 20,32,Male,Australian,Hotel,"$1,000 ",Flight,$600 ,Sydney is a renowned city known for its vibrant culture and rich history.,Dry,Asia,Archaeological,Sports
21,Sydney,12/22/2023,12/28/2023,6,Lily Nguyen 21,24,Female,Vietnamese,Hotel,"$1,400 ",Flight,$100 ,Paris is a renowned city known for its vibrant culture and rich history.,Hot,North America,Coastal,Cultural
22,Madrid,8/1/2023,8/10/2023,9,David Kim 22,34,Male,Korean,Resort,"$2,000 ",Flight,$800 ,Hawaii is a renowned city known for its vibrant culture and rich history.,Rainy,South America,Desert,Therapeutic
23,Cape Town,10/20/2023,10/28/2023,8,Maria Garcia 23,31,Female,Spanish,Hotel,"$1,100 ",Flight,$150 ,Barcelona is a renowned city known for its vibrant culture and rich history.,Cold,Africa,Urban,Recreational
24,Istanbul,8/20/2022,9/2/2022,13,Emma Davis 24,28,Female,British,Hotel,"$1,000 ",Flight,$500 ,Australia is a renowned city known for its vibrant culture and rich history.,Moisture,Australia,Rural,Religious
25,Hong Kong,6/12/2022,6/19/2022,7,Mia Johnson 25,25,Female,American,Hotel,1400,Flight,600,"Paris, France is a renowned city known for its vibrant culture and rich history.",Dry,Europe,Archaeological,Archaeological
26,Muscat,1/2/2023,1/9/2023,7,Adam Lee 26,33,Male,Canadian,Airbnb,800,Flight,150,"Sydney, Australia is a renowned city known for its vibrant culture and rich history.",Hot,Asia,Coastal,Environmental
27,Ho Chi Minh City,12/10/2022,12/18/2022,8,Sarah Wong 27,28,Female,Chinese,Hostel,500,Flight,900,"Tokyo, Japan’s busy capital, mixes the ultramodern and the traditional, from neon-lit skyscrapers to historic temples.",Rainy,North America,Desert,Sports
28,Nice,7/1/2023,7/8/2023,7,John Smith 28,45,Male,American,Resort,2200,Flight,800,"Cancun is known for its beaches, numerous resorts, and nightlife.",Cold,South America,Urban,Cultural
29,Tunis,11/20/2022,11/27/2022,7,Maria Silva 29,30,Female,Brazilian,Hotel,1200,Flight,700,"Rio de Janeiro, Brazil is a renowned city known for its vibrant culture and rich history.",Moisture,Africa,Rural,Therapeutic
30,Stockholm,3/5/2023,3/12/2023,7,Peter Brown 30,55,Male,British,Airbnb,900,Flight,100,"London, the capital of England and the United Kingdom, is a 21st-century city with history stretching back to Roman times.",Dry,Australia,Archaeological,Recreational
31,Lisbon,8/18/2023,8/25/2023,7,Emma Garcia 31,27,Female,Spanish,Hostel,600,Flight,600,"Barcelona, the cosmopolitan capital of Spain’s Catalonia region, is known for its art and architecture.",Hot,Europe,Coastal,Religious
32,Prague,9/15/2022,9/22/2022,7,Michael Davis 32,41,Male,American,Hotel,1500,Flight,500,"New York City, USA is a renowned city known for its vibrant culture and rich history.",Rainy,Asia,Desert,Archaeological
33,San Salvador,5/1/2023,5/7/2023,6,Nina Patel 33,29,Female,Indian,Airbnb,500,Flight,50,"Bangkok, Thailand is a renowned city known for its vibrant culture and rich history.",Cold,North America,Urban,Environmental
34,Miami,7/10/2022,7/17/2022,7,Kevin Kim 34,24,Male,Korean,Hostel,400,Flight,150,"Vancouver, Canada is a renowned city known for its vibrant culture and rich history.",Moisture,South America,Rural,Sports
35,Brussels,6/20/2023,6/28/2023,8,Laura van den Berg 35,31,Female,Dutch,Hotel,1100,Flight,700,"Amsterdam, Netherlands is a renowned city known for its vibrant culture and rich history.",Dry,Africa,Archaeological,Cultural
36,Johannesburg,8/15/2023,8/22/2023,7,Jennifer Nguyen 36,31,Female,Canadian,Hotel,"$1,200 ",Flight,$300 ,"Paris, France is a renowned city known for its vibrant culture and rich history.",Hot,Australia,Coastal,Therapeutic
37,Budapest,10/10/2023,10/20/2023,10,David Kim 37,25,Male,American,Hostel,$500 ,Flight,$100 ,"Tokyo, Japan’s busy capital, mixes the ultramodern and the traditional, from neon-lit skyscrapers to historic temples.",Rainy,Europe,Desert,Recreational
38,Kigali,11/5/2023,11/12/2023,7,Rachel Lee 38,27,Female,South Korean,Airbnb,$900 ,Flight,$200 ,"Sydney, AUS is a renowned city known for its vibrant culture and rich history.",Cold,Asia,Urban,Religious
39,Vienna,12/24/2023,12/31/2023,7,Jessica Wong 39,28,Female,Canadian,Hotel,"$1,400 ",Flight,$800 ,"New York City comprises 5 boroughs sitting where the Hudson River meets the Atlantic Ocean, with iconic sites like the Empire State Building and Central Park.",Moisture,North America,Rural,Archaeological
40,Porto,1/15/2024,1/24/2024,9,Felipe Almeida 40,30,Male,Brazilian,Airbnb,$800 ,Flight,$150 ,"Rio de Janeiro, Brazil is a renowned city known for its vibrant culture and rich history.",Dry,South America,Archaeological,Environmental
41,Beijing,2/1/2024,2/9/2024,8,Nisa Patel 41,23,Female,Indian,Hostel,$400 ,Flight,$50 ,"Bangkok, Thailand is a renowned city known for its vibrant culture and rich history.",Hot,Africa,Coastal,Sports
42,Riyadh,3/15/2024,3/23/2024,8,Ben Smith 42,35,Male,British,Hotel,"$1,000 ",Flight,$200 ,"London, the capital of England and the United Kingdom, is a 21st-century city with history stretching back to Roman times.",Rainy,Australia,Desert,Cultural
43,Edinburgh,4/5/2024,4/13/2024,8,Laura Gomez 43,29,Female,Spanish,Airbnb,$700 ,Flight,$250 ,"Barcelona, the cosmopolitan capital of Spain’s Catalonia region, is known for its art and architecture.",Cold,Europe,Urban,Therapeutic
44,Caracas,5/10/2024,5/18/2024,8,Park Min Woo 44,27,Male,South Korean,Hostel,$500 ,Flight,$20 ,"Seoul, South Korea is a renowned city known for its vibrant culture and rich history.",Moisture,Asia,Rural,Recreational
45,Brisbane,6/20/2024,6/27/2024,7,Michael Chen 45,26,Male,Chinese,Hotel,"$1,200 ",Flight,$300 ,"Los Angeles, USA is a renowned city known for its vibrant culture and rich history.",Dry,North America,Archaeological,Religious
46,Lagos,7/15/2024,7/23/2024,8,Sofia Rossi 46,33,Female,Italian,Airbnb,$800 ,Flight,$100 ,"Rome, Italy is a renowned city known for its vibrant culture and rich history.",Hot,South America,Coastal,Archaeological
47,Marrakech,8/5/2022,8/12/2022,7,Sarah Lee 47,35,Female,South Korean,Resort,500 USD,Flight,800 USD,"Bali is a popular travel destination known for its forested volcanic mountains, iconic rice paddies, beaches and coral reefs.",Rainy,Africa,Desert,Environmental
48,Helsinki,1/1/2023,1/9/2023,8,Alex Kim 48,29,Male,American,Hotel,1000 USD,Flight,200 USD,"Tokyo, Japan’s busy capital, mixes the ultramodern and the traditional, from neon-lit skyscrapers to historic temples.",Cold,Australia,Urban,Sports
49,Munich,4/15/2023,4/22/2023,7,Maria Hernandez 49,42,Female,Mexican,Resort,800 USD,Flight,500 USD,"Cancun is known for its beaches, numerous resorts, and nightlife.",Moisture,Europe,Rural,Cultural
50,Montreal,6/7/2023,6/14/2023,7,John Smith 50,46,Male,British,Hotel,1200 USD,Flight,700 USD,"Paris, France is a renowned city known for its vibrant culture and rich history.",Dry,Asia,Archaeological,Therapeutic
51,Auckland,9/1/2023,9/10/2023,9,Mark Johnson 51,31,Male,South African,Guesthouse,400 USD,Flight,300 USD,"Cape Town, SA is a renowned city known for its vibrant culture and rich history.",Hot,North America,Coastal,Recreational
52,Dublin,11/12/2023,11/19/2023,7,Amanda Chen 52,25,Female,Taiwanese,Resort,600 USD,Flight,700 USD,"Bali is a popular travel destination known for its forested volcanic mountains, iconic rice paddies, beaches and coral reefs.",Rainy,South America,Desert,Religious
53,Karachi,2/5/2024,2/12/2024,7,David Lee 53,38,Male,Australian,Hotel,900 USD,Flight,600 USD,"Sydney, Aus is a renowned city known for its vibrant culture and rich history.",Cold,Africa,Urban,Archaeological
54,Seoul,5/15/2024,5/22/2024,7,Nana Kwon 54,27,Female,Korean,Hotel,400 USD,Flight,400 USD,"Bangkok, Thai is a renowned city known for its vibrant culture and rich history.",Moisture,Australia,Rural,Environmental
55,Casablanca,8/20/2024,8/27/2024,7,Tom Hanks 55,60,Male,American,Hotel,1500 USD,Flight,1000 USD,"New York City comprises 5 boroughs sitting where the Hudson River meets the Atlantic Ocean, with iconic sites like the Empire State Building and Central Park.",Dry,Europe,Archaeological,Sports
56,Kingston,1/1/2025,1/8/2025,7,Emma Watson 56,32,Female,British,Resort,700 USD,Flight,800 USD,"Phuket, Thai is a renowned city known for its vibrant culture and rich history.",Hot,Asia,Coastal,Cultural
57,Guatemala City,4/15/2025,4/22/2025,7,James Kim 57,41,Male,American,Hotel,100,Flight,,"Rome, Italy is a renowned city known for its vibrant culture and rich history.",Rainy,North America,Desert,Therapeutic
58,Perth,11/23/2022,12/2/2022,9,David Lee 58,45,Male,South Korea,Hostel,$200 ,Flight,"$1,200 ",Sydney is a renowned city known for its vibrant culture and rich history.,Cold,South America,Urban,Recreational
59,Havana,1/6/2024,1/14/2024,8,Maria Garcia 59,27,Female,Spain,Airbnb,$500 ,Flight,"$1,500 ",Cape Town is a renowned city known for its vibrant culture and rich history.,Moisture,Africa,Rural,Religious
60,Tallinn,7/22/2024,7/28/2024,6,Olivia Kim 60,29,Female,South Korea,Villa,"$1,200 ",Flight,"$1,000 ",Bali is a renowned city known for its vibrant culture and rich history.,Dry,Australia,Archaeological,Archaeological
61,Manila,2/5/2022,2/14/2022,9,Alice Smith 61,32,Female,American,Hotel,1000,Flight,700,"Tokyo, Japan’s busy capital, mixes the ultramodern and the traditional, from neon-lit skyscrapers to historic temples.",Hot,Europe,Coastal,Environmental
62,Santiago,3/15/2022,3/22/2022,7,Bob Johnson 62,47,Male,Canadian,Hotel,1200,Flight,500,"Paris, France is a renowned city known for its vibrant culture and rich history.",Rainy,Asia,Desert,Sports
63,Zurich,5/1/2022,5/12/2022,11,Cindy Chen 63,26,Female,Chinese,Airbnb,800,Flight,1000,"Sydney, Aus is a renowned city known for its vibrant culture and rich history.",Cold,North America,Urban,Cultural
64,Seville,6/10/2022,6/17/2022,7,David Lee 64,38,Male,Korean,Hotel,900,Flight,400,"Rome, Italy is a renowned city known for its vibrant culture and rich history.",Moisture,South America,Rural,Therapeutic
65,Tel Aviv,7/20/2022,7/30/2022,10,Emily Kim 65,29,Female,Korean,Hostel,500,Flight,800,"Bali is a popular travel destination known for its forested volcanic mountains, iconic rice paddies, beaches and coral reefs.",Dry,Africa,Archaeological,Recreational
66,Accra,8/8/2022,8/16/2022,8,Frank Li 66,41,Male,American,Hotel,1300,Flight,600,"Cancun is known for its beaches, numerous resorts, and nightlife.",Hot,Australia,Coastal,Religious
67,Adelaide,9/20/2022,9/30/2022,10,Gina Lee 67,35,Female,Korean,Airbnb,700,Flight,900,"Athens, Greece is a renowned city known for its vibrant culture and rich history.",Rainy,Europe,Desert,Archaeological
68,Bogotá,10/5/2022,10/13/2022,8,Henry Kim 68,24,Male,Korean,Hotel,1200,Flight,700,"Tokyo, Japan’s busy capital, mixes the ultramodern and the traditional, from neon-lit skyscrapers to historic temples.",Cold,Asia,Urban,Environmental
69,Florence,11/11/2022,11/21/2022,10,Isabella Chen 69,30,Female,Chinese,Airbnb,900,Flight,1000,"Sydney, Aus is a renowned city known for its vibrant culture and rich history.",Moisture,North America,Rural,Sports
70,Warsaw,12/24/2022,1/1/2023,8,Jack Smith 70,28,Male,American,Hostel,400,Flight,700,"Paris, France is a renowned city known for its vibrant culture and rich history.",Dry,South America,Archaeological,Cultural
71,Dhaka,2/10/2023,2/18/2023,8,Katie Johnson 71,33,Female,Canadian,Hotel,800,Flight,800,"Bali is a popular travel destination known for its forested volcanic mountains, iconic rice paddies, beaches and coral reefs.",Hot,Africa,Coastal,Therapeutic
72,Reykjavik,5/1/2023,5/7/2023,6,John Doe 72,35,Male,American,Hotel,5000,Flight,2500,"Paris, France is a renowned city known for its vibrant culture and rich history.",Rainy,Australia,Desert,Recreational
73,Copenhagen,5/15/2023,5/22/2023,7,Jane Smith 73,28,Female,British,Airbnb,7000,Flight,1500,"Tokyo, Japan’s busy capital, mixes the ultramodern and the traditional, from neon-lit skyscrapers to historic temples.",Cold,Europe,Urban,Religious
74,San Francisco,6/1/2023,6/10/2023,9,Michael Johnson 74,45,Male,South African,Hostel,3000,Flight,2000,"Cape Town, South Africa is a renowned city known for its vibrant culture and rich history.",Moisture,Asia,Rural,Archaeological
75,Kyoto,6/15/2023,6/21/2023,6,Sarah Lee 75,31,Female,Australian,Hotel,6000,Flight,3000,"Sydney, Australia is a renowned city known for its vibrant culture and rich history.",Dry,North America,Archaeological,Environmental
76,Amman,7/1/2023,7/8/2023,7,David Kim 76,42,Male,Korean,Airbnb,4000,Flight,1500,"Rome, Italy is a renowned city known for its vibrant culture and rich history.",Hot,South America,Coastal,Sports
77,Barcelona,7/15/2023,7/22/2023,7,Emily Davis 77,27,Female,American,Hotel,8000,Flight,2500,"New York City, USA is a renowned city known for its vibrant culture and rich history.",Rainy,Africa,Desert,Cultural
78,Melbourne,8/1/2023,8/10/2023,9,Jose Perez 78,37,Male,Brazilian,Hostel,2500,Flight,2000,"Rio de Janeiro, Brazil is a renowned city known for its vibrant culture and rich history.",Cold,Australia,Urban,Therapeutic
79,Algiers,8/15/2023,8/21/2023,6,Emma Wilson 79,29,Female,Canadian,Hotel,5000,Flight,3000,"Vancouver, Canada is a renowned city known for its vibrant culture and rich history.",Moisture,Europe,Rural,Recreational
80,Lima,9/1/2023,9/8/2023,7,Ryan Chen 80,34,Male,Chinese,Hostel,2000,Flight,1000,"Bangkok, Thailand is a renowned city known for its vibrant culture and rich history.",Dry,Asia,Archaeological,Religious
81,Amsterdam,9/15/2023,9/22/2023,7,Sofia Rodriguez 81,25,Female,Spanish,Airbnb,6000,Flight,2500,"Barcelona, the cosmopolitan capital of Spain’s Catalonia region, is known for its art and architecture.",Hot,North America,Coastal,Archaeological
82,Colombo,10/1/2023,10/8/2023,7,William Brown 82,39,Male,New Zealander,Hotel,7000,Flight,2500,"Auckland, based around 2 large harbours, is a major city in the north of New Zealand’s North Island.",Rainy,South America,Desert,Environmental
83,Beirut,5/1/2023,5/8/2023,7,John Smith 83,35,Male,American,Hotel,1200,Flight,600,"London, the capital of England and the United Kingdom, is a 21st-century city with history stretching back to Roman times.",Cold,Africa,Urban,Sports
84,Jakarta,6/15/2023,6/20/2023,5,Jane Doe 84,28,Female,Canadian,Resort,800,Flight,500,"Phuket is among the world’s finest beach destinations, with fine white sands, nodding palm trees, glittering seas and lively towns.",Moisture,Australia,Rural,Cultural
85,Quito,7/1/2023,7/8/2023,7,David Lee 85,45,Male,Korean,Villa,1000,Flight,700,"Bali is a popular travel destination known for its forested volcanic mountains, iconic rice paddies, beaches and coral reefs.",Dry,Europe,Archaeological,Therapeutic
86,Oslo,8/15/2023,8/29/2023,14,Sarah Johnson 86,29,Female,British,Hotel,2000,Flight,1000,"New York City comprises 5 boroughs sitting where the Hudson River meets the Atlantic Ocean, with iconic sites like the Empire State Building and Central Park.",Hot,Asia,Coastal,Recreational
87,Shanghai,9/10/2023,9/17/2023,7,Kim Nguyen 87,26,Female,Vietnamese,Airbnb,700,Flight,200,"Tokyo, Japan’s busy capital, mixes the ultramodern and the traditional, from neon-lit skyscrapers to historic temples.",Rainy,North America,Desert,Religious
88,Vancouver,10/5/2023,10/10/2023,5,Michael Brown 88,42,Male,American,Hotel,1500,Flight,800,"Paris, France is a renowned city known for its vibrant culture and rich history.",Cold,South America,Urban,Archaeological
89,Chicago,11/20/2023,11/30/2023,10,Emily Davis 89,33,Female,Australian,Hostel,500,Flight,1200,"Sydney, Australia is a renowned city known for its vibrant culture and rich history.",Moisture,Africa,Rural,Environmental
90,Mumbai,1/5/2024,1/12/2024,7,Lucas Santos 90,25,Male,Brazilian,Airbnb,900,Flight,600,"Rio de Janeiro, Brazil is a renowned city known for its vibrant culture and rich history.",Dry,Australia,Archaeological,Sports
91,Doha,2/14/2024,2/21/2024,7,Laura Janssen 91,31,Female,Dutch,Hotel,1200,Flight,200,"Amsterdam, Netherlands is a renowned city known for its vibrant culture and rich history.",Hot,Europe,Coastal,Cultural
92,São Paulo,3/10/2024,3/17/2024,7,Mohammed Ali 92,39,Male,Emirati,Resort,2500,Flight,800,"Dubai, United Arab Emirates is a renowned city known for its vibrant culture and rich history.",Rainy,Asia,Desert,Therapeutic
93,Tegucigalpa,4/1/2024,4/8/2024,7,Ana Hernandez 93,27,Female,Mexican,Hotel,1000,Flight,500,"Cancun is known for its beaches, numerous resorts, and nightlife.",Cold,North America,Urban,Recreational
94,Venice,5/15/2024,5/22/2024,7,Carlos Garcia 94,36,Male,Spanish,Airbnb,800,Flight,100,"Barcelona, the cosmopolitan capital of Spain’s Catalonia region, is known for its art and architecture.",Moisture,South America,Rural,Religious
95,Fes,6/10/2024,6/18/2024,8,Lily Wong 95,29,Female,Chinese,Resort,3000,Flight,1200,"Honolulu, Hawaii is a renowned city known for its vibrant culture and rich history.",Dry,Africa,Archaeological,Archaeological
96,Athens,7/1/2024,7/10/2024,9,Hans Mueller 96,48,Male,German,Hotel,1400,Flight,700,"Berlin, Germany is a renowned city known for its vibrant culture and rich history.",Hot,Australia,Coastal,Environmental
97,Phuket,8/20/2024,8/27/2024,7,Fatima Khouri 97,26,Female,Moroccan,Riad,600,Flight,400,"Marrakech, Morocco is a renowned city known for its vibrant culture and rich history.",Rainy,Europe,Desert,Sports
98,Bali,9/5/2024,9/12/2024,7,James MacKenzie 98,32,Male,Scottish,Hotel,900,Flight,150,"Edinburgh, Scotland is a renowned city known for its vibrant culture and rich history.",Cold,Asia,Urban,Cultural
99,Rio de Janeiro,8/15/2023,8/25/2023,10,Michael Chang 99,28,Male,Chinese,Resort,"$1,500 ",Flight,$700 ,Bali is a renowned city known for its vibrant culture and rich history.,Moisture,North America,Rural,Therapeutic
100,Cancun,7/22/2023,7/28/2023,6,Olivia Rodriguez 100,35,Female,British,Hotel,"$1,200 ",Flight,$150 ,London is a renowned city known for its vibrant culture and rich history.,Dry,South America,Archaeological,Recreational
101,Honolulu,10/11/2023,10/15/2023,4,Traveler 6 101,29,Male,British,Airbnb,797,Train,1409,"Tokyo, Japan’s busy capital, mixes the ultramodern and the traditional, from neon-lit skyscrapers to historic temples.",Hot,Africa,Coastal,Religious
102,Hawaii,3/13/2023,3/16/2023,3,Traveler 7 102,37,Male,Japanese,Hostel,1033,Car Rental,934,"Berlin, Germany is a renowned city known for its vibrant culture and rich history.",Rainy,Australia,Desert,Archaeological
103,Australia,10/7/2023,10/18/2023,11,Traveler 8 103,57,Female,Chinese,Hotel,1827,Train,720,"Phuket is among the world’s finest beach destinations, with fine white sands, nodding palm trees, glittering seas and lively towns.",Cold,Europe,Urban,Environmental
104,New York City,4/18/2023,4/26/2023,8,Traveler 9 104,23,Female,Japanese,Resort,1599,Bus,645,"Sydney, Australia is a renowned city known for its vibrant culture and rich history.",Moisture,Asia,Rural,Sports
105,Zurich,3/28/2023,4/6/2023,9,Traveler 10 105,49,Female,Australian,Villa,1945,Train,673,"Phuket is among the world’s finest beach destinations, with fine white sands, nodding palm trees, glittering seas and lively towns.",Dry,North America,Archaeological,Cultural
106,Hamburg,4/17/2023,4/30/2023,13,Traveler 11 106,54,Male,Chinese,Hotel,256,Train,1167,"Sydney, Aus is a renowned city known for its vibrant culture and rich history.",Hot,South America,Coastal,Therapeutic
107,Frankfurt,7/11/2023,7/21/2023,10,Traveler 12 107,57,Female,Chinese,Villa,1420,Car Rental,627,"Bali is a popular travel destination known for its forested volcanic mountains, iconic rice paddies, beaches and coral reefs.",Rainy,Africa,Desert,Recreational
108,Abu Dhabi,3/1/2023,3/7/2023,6,Traveler 13 108,24,Male,Japanese,Hostel,649,Car Rental,453,"New York City, USA is a renowned city known for its vibrant culture and rich history.",Cold,Australia,Urban,Religious
109,Kuala Lumpur,2/21/2023,3/6/2023,13,Traveler 14 109,37,Female,Chinese,Hotel,1053,Train,359,"Edinburgh, Scotland is a renowned city known for its vibrant culture and rich history.",Moisture,Europe,Rural,Archaeological
110,Bratislava,5/13/2023,5/26/2023,13,Traveler 15 110,51,Male,Japanese,Airbnb,60,Car Rental,226,"Phuket, Thai is a renowned city known for its vibrant culture and rich history.",Dry,Asia,Archaeological,Environmental
111,Lyon,9/27/2023,10/5/2023,8,Traveler 16 111,68,Male,Australian,Hotel,925,Train,705,"Cancun is known for its beaches, numerous resorts, and nightlife.",Hot,North America,Coastal,Sports
112,Geneva,8/11/2023,8/15/2023,4,Traveler 17 112,37,Male,British,Hostel,746,Flight,1075,"Auckland, based around 2 large harbours, is a major city in the north of New Zealand’s North Island.",Rainy,South America,Desert,Cultural
113,Naples,1/20/2023,1/22/2023,2,Traveler 18 113,54,Female,Australian,Hotel,718,Train,579,"Phuket is among the world’s finest beach destinations, with fine white sands, nodding palm trees, glittering seas and lively towns.",Cold,Africa,Urban,Therapeutic
114,Valencia,7/16/2023,7/23/2023,7,Traveler 19 114,23,Male,Australian,Hotel,805,Flight,301,"Auckland, based around 2 large harbours, is a major city in the north of New Zealand’s North Island.",Moisture,Australia,Rural,Recreational
115,Salzburg,5/24/2023,6/6/2023,13,Traveler 20 115,39,Male,British,Hotel,1431,Flight,91,"Cape Town, SA is a renowned city known for its vibrant culture and rich history.",Dry,Europe,Archaeological,Religious
116,Split,9/7/2023,9/12/2023,5,Traveler 21 116,62,Male,American,Hotel,789,Flight,750,"Seoul, South Korea is a renowned city known for its vibrant culture and rich history.",Hot,Asia,Coastal,Archaeological
117,Rabat,1/21/2023,1/24/2023,3,Traveler 22 117,60,Female,British,Hotel,168,Bus,1241,Hawaii is a renowned city known for its vibrant culture and rich history.,Rainy,North America,Desert,Environmental
118,Giza,10/3/2023,10/15/2023,12,Traveler 23 118,40,Male,Australian,Airbnb,1732,Flight,978,"Seoul, South Korea is a renowned city known for its vibrant culture and rich history.",Cold,South America,Urban,Sports
119,Jerusalem,10/16/2023,10/19/2023,3,Traveler 24 119,65,Male,Canadian,Hostel,608,Train,1123,"Honolulu, Hawaii is a renowned city known for its vibrant culture and rich history.",Moisture,Africa,Rural,Cultural
120,Bordeaux,5/20/2023,5/29/2023,9,Traveler 25 120,65,Male,Canadian,Resort,1477,Bus,787,"Rio de Janeiro, Brazil is a renowned city known for its vibrant culture and rich history.",Dry,Australia,Archaeological,Therapeutic
121,Marseille,5/13/2023,5/20/2023,7,Traveler 26 121,68,Female,Chinese,Hostel,1064,Flight,599,"Los Angeles, USA is a renowned city known for its vibrant culture and rich history.",Hot,Europe,Coastal,Recreational
122,Athens,3/5/2023,3/18/2023,13,Traveler 27 122,54,Male,Chinese,Airbnb,269,Flight,605,"Berlin, Germany is a renowned city known for its vibrant culture and rich history.",Rainy,Asia,Desert,Religious
123,Thessaloniki,10/6/2023,10/17/2023,11,Traveler 28 123,34,Female,Canadian,Airbnb,1424,Train,264,"Edinburgh, Scotland is a renowned city known for its vibrant culture and rich history.",Cold,North America,Urban,Archaeological
124,Krakow,1/29/2023,1/30/2023,1,Traveler 29 124,61,Female,Canadian,Resort,1956,Train,1408,"Vancouver, Canada is a renowned city known for its vibrant culture and rich history.",Moisture,South America,Rural,Environmental
125,Gdansk,6/20/2023,7/3/2023,13,Traveler 30 125,30,Male,Chinese,Hotel,488,Train,616,Sydney is a renowned city known for its vibrant culture and rich history.,Dry,Africa,Archaeological,Sports
